award_share,fga,per,ws,ws_per_48,usg_pct,ast_per_g,stl_per_g,blk_per_g
0.022,20.3,24.3,13.6,0.191,28.4,4.0,1.4,0.2
0.006,10.0,21.7,12.3,0.208,18.5,2.1,0.6,2.4
0.017,15.4,19.9,9.1,0.15,23.2,3.5,0.9,0.4
0.006,10.7,19.7,6.8,0.185,21.8,2.7,1.1,1.2
0.004,9.3,20.1,9.2,0.217,20.8,2.8,1.2,0.9
0.001,6.0,10.1,5.5,0.1,11.3,1.5,0.7,1.7
0.072,15.4,17.0,8.4,0.154,24.6,3.7,1.7,0.8
0.12,21.1,22.9,10.5,0.182,32.3,3.2,1.1,0.7
0.004,4.2,13.5,4.5,0.112,10.4,1.1,0.6,3.4
0.016,16.0,18.0,8.0,0.132,23.6,3.0,1.0,1.1
0.028,18.5,18.0,8.5,0.135,24.5,2.9,1.5,0.4
0.004,13.3,19.4,7.0,0.164,26.1,3.8,0.7,0.2
0.658,18.6,25.1,13.8,0.231,28.4,4.4,2.1,1.8
0.414,18.2,25.5,14.3,0.23,26.3,3.4,0.7,2.9
0.016,14.5,14.9,2.8,0.056,24.3,6.9,1.1,0.1
0.613,18.3,19.9,10.8,0.16,24.3,5.5,2.0,0.8
0.026,15.9,25.7,6.4,0.225,24.3,8.6,3.4,0.7
0.106,15.2,22.0,11.2,0.211,23.3,4.6,1.5,0.5
0.004,8.1,12.2,5.0,0.092,13.5,4.1,1.6,1.0
0.01,14.1,17.1,6.9,0.104,20.0,7.9,2.9,0.4
0.004,21.8,17.5,6.0,0.091,26.9,1.7,0.8,0.6
0.261,19.3,25.1,13.7,0.202,27.6,1.8,1.0,1.9
0.007,15.3,15.5,5.5,0.089,21.8,8.8,1.8,0.1
0.01,18.4,20.3,8.2,0.152,26.8,3.3,1.3,0.3
0.022,13.4,17.3,5.2,0.11,23.3,8.8,1.5,0.1
0.001,11.7,15.1,5.4,0.108,21.1,4.7,2.4,0.0
0.009,13.4,18.4,9.2,0.156,23.1,5.2,1.5,0.2
0.077,14.2,25.2,10.9,0.228,27.1,1.8,1.0,2.6
0.046,9.6,14.3,6.9,0.118,17.5,7.7,0.9,0.2
0.009,15.6,14.9,7.6,0.119,21.5,2.5,0.8,0.5
0.004,14.1,18.4,7.1,0.157,25.6,3.9,1.2,0.2
0.01,19.6,24.2,12.6,0.187,27.9,4.0,1.2,0.2
0.017,18.9,22.2,9.5,0.152,25.3,5.3,1.1,1.5
0.014,16.5,19.8,8.7,0.147,25.3,3.6,1.0,0.3
0.001,10.7,17.2,8.9,0.152,18.2,1.3,1.0,1.0
0.004,15.3,23.1,9.8,0.19,26.0,2.2,0.8,0.7
0.02,14.9,19.5,6.5,0.141,24.6,2.7,1.0,1.5
0.001,15.4,16.7,8.1,0.132,23.6,4.6,1.3,0.7
0.159,25.2,24.2,10.7,0.182,35.0,2.4,1.0,0.6
0.167,19.9,21.8,10.2,0.171,28.5,6.9,2.2,0.5
0.004,14.8,14.5,2.3,0.046,25.0,7.8,2.1,0.2
0.048,14.8,20.6,12.6,0.199,22.5,3.4,1.2,1.3
0.001,17.3,16.5,7.7,0.127,23.6,1.7,1.1,0.3
0.001,17.9,18.7,5.6,0.102,28.6,2.2,1.1,0.3
0.294,17.6,25.9,13.3,0.229,28.1,3.9,2.0,1.7
0.045,17.1,23.4,10.7,0.192,25.6,3.0,0.8,2.7
0.02,15.6,16.4,7.5,0.117,23.3,3.3,1.1,0.2
0.588,18.4,22.6,12.5,0.205,25.2,5.8,1.9,0.9
0.097,13.3,22.9,12.9,0.207,20.1,9.5,2.7,0.4
0.004,12.7,18.0,6.2,0.158,22.1,3.6,1.0,0.6
0.004,9.8,14.3,5.0,0.109,17.5,3.0,1.6,0.8
0.735,22.5,26.8,15.4,0.218,29.9,1.8,0.9,1.5
0.001,16.5,19.2,8.2,0.125,22.9,4.0,0.9,1.4
0.009,16.9,19.0,7.9,0.139,27.4,6.0,2.4,0.5
0.19,15.4,22.6,10.0,0.19,25.5,1.8,0.9,2.4
0.146,13.3,20.1,13.4,0.216,21.0,4.8,1.7,0.3
0.056,22.6,24.1,10.3,0.166,28.9,4.8,1.4,1.5
0.007,6.4,13.8,3.8,0.096,17.7,1.4,0.6,2.2
0.044,10.8,21.2,11.0,0.189,19.4,1.5,0.5,2.3
0.005,16.8,20.3,7.5,0.163,29.1,2.9,1.3,0.2
0.053,11.1,18.6,11.4,0.185,18.4,1.5,1.1,1.3
0.003,15.5,18.8,7.4,0.127,24.2,2.9,0.8,1.5
0.04,19.9,20.5,9.4,0.159,29.1,3.4,1.1,0.9
0.004,17.3,20.5,8.5,0.148,25.8,8.0,2.3,0.3
0.005,19.0,18.9,7.4,0.115,26.1,7.8,2.5,0.4
0.017,13.9,19.6,9.8,0.183,22.5,3.1,1.2,0.9
0.016,13.3,19.4,10.1,0.169,23.0,3.0,0.9,1.0
0.149,16.3,23.1,10.9,0.217,25.5,3.7,1.6,1.8
0.02,15.5,23.6,10.9,0.205,24.6,2.5,0.8,2.2
0.001,18.7,21.8,11.0,0.182,24.9,2.5,0.8,0.5
0.485,18.7,24.1,14.0,0.225,25.0,5.8,1.9,0.9
0.004,16.2,18.1,7.2,0.128,23.7,8.1,1.7,0.1
0.406,11.8,23.0,12.5,0.207,19.0,10.5,2.2,0.6
0.002,17.8,21.1,10.7,0.18,25.7,4.5,1.3,0.7
0.012,13.6,16.1,7.1,0.132,22.5,2.8,0.7,0.6
0.96,16.7,25.1,15.1,0.248,26.0,1.3,1.1,2.0
0.001,14.2,13.9,3.9,0.069,20.9,7.2,1.3,0.1
0.301,15.2,22.6,13.2,0.233,24.7,3.9,1.5,0.3
0.013,18.7,22.8,8.7,0.164,26.0,2.5,1.8,0.9
0.116,18.2,24.6,14.6,0.235,28.2,3.9,0.8,0.1
0.491,18.1,22.7,12.1,0.218,28.7,2.1,1.0,0.2
0.012,12.7,19.2,10.8,0.181,18.2,1.8,0.6,1.0
0.151,17.7,20.9,9.1,0.144,25.4,11.1,2.5,0.4
0.05,13.8,19.6,9.3,0.144,23.0,3.9,0.9,1.0
0.129,17.2,22.9,10.1,0.18,27.2,4.0,1.8,1.8
0.201,15.5,21.3,8.9,0.163,25.1,2.6,0.7,1.8
0.858,19.5,24.2,13.6,0.215,26.7,6.6,1.8,0.9
0.401,11.6,22.6,10.2,0.191,19.5,13.1,2.2,0.7
0.037,22.3,23.5,9.0,0.149,33.4,4.5,1.0,0.3
0.001,17.4,19.4,8.6,0.152,25.2,4.3,1.6,0.6
0.046,15.5,21.8,9.5,0.175,26.4,1.4,1.0,1.5
0.011,11.2,18.0,7.9,0.138,16.9,9.2,2.7,0.2
0.092,14.2,19.8,12.7,0.198,22.2,4.5,1.4,0.3
0.001,18.8,18.8,5.3,0.107,31.3,3.0,1.3,0.1
0.015,22.4,21.6,8.9,0.146,29.3,4.2,1.2,0.6
0.006,13.1,16.2,5.5,0.118,23.3,5.2,0.9,0.3
0.09,23.7,25.2,7.1,0.166,35.1,3.7,1.3,0.3
0.028,16.1,21.8,10.2,0.185,24.1,3.1,1.0,0.4
0.001,14.5,19.7,7.5,0.141,23.5,5.5,2.2,0.9
0.004,23.3,20.9,7.6,0.121,32.5,2.5,1.7,0.7
0.015,15.3,21.1,10.2,0.168,23.5,1.4,1.2,2.7
0.081,17.4,22.2,11.2,0.173,24.0,13.9,2.3,0.3
0.004,13.9,20.4,8.3,0.166,22.2,4.2,1.2,1.3
0.001,15.8,20.0,7.6,0.144,26.0,3.0,1.7,1.4
0.264,15.3,22.9,11.2,0.204,24.3,3.2,0.8,2.1
0.978,22.0,26.5,15.7,0.238,28.5,6.6,1.6,1.2
0.338,11.7,23.2,12.7,0.22,20.5,12.6,1.5,0.3
0.005,8.2,13.6,5.4,0.093,14.1,1.5,0.4,5.6
0.172,19.8,25.8,14.0,0.213,29.8,5.9,2.4,0.8
0.014,17.9,19.8,8.7,0.134,24.0,8.2,3.0,0.3
0.279,16.3,22.5,11.9,0.193,26.8,1.6,0.8,1.6
0.004,11.6,17.6,9.6,0.16,19.2,6.8,1.6,0.7
0.003,22.8,18.9,6.2,0.097,29.1,3.0,1.5,0.3
0.033,18.3,17.4,6.2,0.096,25.9,2.7,1.0,2.0
0.083,15.9,20.1,11.2,0.197,23.6,5.2,1.6,0.5
0.177,19.4,22.1,10.7,0.189,28.8,2.9,1.5,0.8
0.003,18.7,19.7,6.0,0.127,29.4,4.5,1.1,0.2
0.003,19.1,24.6,12.8,0.223,30.0,3.5,0.8,0.1
0.071,23.3,21.7,9.8,0.156,30.5,4.0,0.9,0.4
0.004,13.3,19.5,8.6,0.143,20.9,5.5,3.7,0.5
0.003,11.7,15.1,6.8,0.106,18.1,1.6,0.9,1.2
0.171,13.0,22.4,10.8,0.176,22.4,3.9,2.2,1.6
0.001,13.6,14.7,6.7,0.118,20.5,5.8,1.4,0.4
0.522,24.3,23.3,10.8,0.17,32.9,2.6,1.8,0.6
0.247,17.5,24.2,9.5,0.186,25.6,2.0,2.0,3.4
0.036,16.2,21.2,8.8,0.151,24.4,10.8,2.2,0.3
0.009,14.5,20.4,9.5,0.185,22.6,2.7,1.1,1.0
0.173,16.9,22.7,10.8,0.197,26.6,3.5,0.8,1.6
0.004,14.4,21.6,11.0,0.22,22.5,2.7,0.4,2.0
0.981,19.6,25.6,15.8,0.244,27.6,6.8,2.0,0.6
0.263,12.8,24.0,12.1,0.226,21.6,12.6,1.6,0.2
0.027,16.8,20.6,8.9,0.157,27.6,1.2,0.9,1.0
0.004,10.5,18.6,9.8,0.174,18.6,7.8,2.1,0.9
0.072,13.2,20.0,11.7,0.219,21.8,4.9,1.4,0.2
0.012,17.5,18.2,7.4,0.133,27.2,2.4,1.5,0.6
0.003,23.4,20.5,8.1,0.126,29.2,5.1,0.9,0.3
0.145,13.8,25.1,12.0,0.21,23.1,4.9,1.8,1.5
0.164,22.6,23.5,12.2,0.197,32.3,3.3,1.5,0.6
0.014,16.7,20.8,9.7,0.153,21.1,8.0,2.5,0.4
0.036,17.8,23.8,10.9,0.189,26.8,2.9,1.9,3.4
0.022,16.7,18.8,7.6,0.121,25.9,10.0,1.9,0.2
0.001,18.0,18.4,4.6,0.082,27.8,2.6,1.1,1.5
0.004,17.3,18.0,6.9,0.116,26.3,1.9,1.3,0.7
0.326,17.0,24.0,14.8,0.232,24.1,2.6,0.5,2.2
0.347,20.2,26.4,15.2,0.243,27.5,7.6,1.8,0.9
0.94,16.4,27.0,15.9,0.263,26.3,12.2,1.7,0.5
0.001,19.9,22.1,8.9,0.16,31.3,3.2,1.1,0.4
0.576,27.8,29.8,16.9,0.247,38.3,4.6,2.9,1.5
0.012,18.0,23.8,9.4,0.182,29.3,1.6,0.8,1.3
0.004,13.2,17.7,9.2,0.147,19.7,2.2,0.8,1.8
0.001,15.8,18.1,8.0,0.14,24.3,3.3,0.8,0.3
0.005,11.3,15.1,4.4,0.091,23.1,2.0,0.6,1.0
0.001,12.5,19.9,9.4,0.21,24.2,2.5,0.6,0.1
0.005,21.3,19.8,7.6,0.129,28.4,4.7,0.9,0.3
0.001,11.9,18.2,7.6,0.138,20.0,1.6,1.0,0.6
0.136,16.0,27.6,16.7,0.253,26.7,3.2,1.3,1.3
0.108,20.7,24.1,13.2,0.207,28.0,5.8,2.5,0.6
0.069,25.1,23.7,9.8,0.16,35.2,2.9,1.3,0.6
0.033,16.6,20.5,10.4,0.163,21.4,7.8,2.7,0.3
0.05,17.5,23.4,10.7,0.182,26.5,2.1,2.1,2.7
0.004,16.6,18.2,7.6,0.124,25.4,8.4,1.7,0.2
0.019,9.6,23.2,14.1,0.238,17.2,13.8,3.0,0.2
0.045,20.1,20.7,10.1,0.152,29.7,2.4,1.4,0.6
0.659,22.0,27.8,15.0,0.243,30.2,6.1,1.6,0.8
0.635,13.8,23.1,10.9,0.199,23.4,11.9,1.6,0.2
0.001,20.4,21.9,8.8,0.163,31.6,3.6,0.9,0.7
0.003,12.4,15.7,7.6,0.113,17.3,10.6,2.5,0.1
0.001,11.3,15.6,7.5,0.13,16.2,6.1,2.0,0.2
0.831,24.4,31.7,21.2,0.308,34.1,5.9,3.2,1.6
0.005,13.0,18.5,9.6,0.164,22.2,3.7,0.8,0.5
0.111,15.3,27.0,16.1,0.25,24.4,4.1,1.6,0.8
0.004,19.9,21.9,10.6,0.165,26.6,5.1,2.1,0.5
0.211,19.0,25.2,12.4,0.197,28.2,1.8,2.6,3.4
0.001,15.3,17.1,7.0,0.115,24.6,8.3,1.7,0.3
0.001,13.1,16.8,7.0,0.14,21.6,5.7,0.9,0.1
0.033,11.3,22.9,15.6,0.236,19.1,13.6,3.2,0.2
0.426,19.5,24.4,15.2,0.233,30.4,2.7,1.8,0.9
0.026,13.9,20.5,12.2,0.184,21.2,12.2,1.7,0.3
0.004,12.6,19.9,10.3,0.197,19.9,2.2,0.8,2.8
0.782,14.8,26.9,16.1,0.267,24.3,12.8,1.8,0.3
0.004,5.0,10.6,6.6,0.108,9.2,1.0,0.5,3.8
0.021,13.4,20.6,11.3,0.199,21.0,8.4,1.5,0.1
0.704,22.2,31.1,19.8,0.292,32.1,8.0,2.9,0.8
0.004,13.5,21.2,10.7,0.178,23.4,1.4,1.0,1.2
0.235,16.0,22.1,10.9,0.181,23.6,2.4,1.5,3.5
0.005,13.1,21.6,10.5,0.177,20.9,2.2,1.0,1.5
0.001,19.5,19.7,7.7,0.131,28.9,2.5,1.3,0.9
0.024,20.3,19.3,9.2,0.146,28.2,2.9,1.1,0.7
0.005,9.2,14.3,8.7,0.149,15.5,1.4,0.8,0.5
0.667,14.9,27.1,17.3,0.269,24.0,3.9,1.9,0.6
0.003,18.6,22.2,11.6,0.208,25.5,5.9,2.0,0.7
0.111,15.9,26.3,15.1,0.241,26.6,2.0,1.7,3.9
0.07,19.6,24.1,11.2,0.173,28.1,2.9,2.1,4.6
0.001,16.3,17.3,6.7,0.107,26.0,9.4,1.7,0.2
0.001,14.1,17.2,8.7,0.162,22.5,4.9,0.8,0.0
0.01,11.8,23.9,14.4,0.238,20.6,14.5,2.7,0.2
0.233,19.8,27.2,15.9,0.245,32.6,2.8,1.5,0.6
0.005,20.2,21.9,9.5,0.154,27.4,7.5,1.4,0.8
0.691,14.4,26.6,16.5,0.27,24.8,11.5,1.7,0.4
0.613,24.0,31.2,19.0,0.285,33.7,6.3,2.8,0.7
0.176,20.4,25.8,13.5,0.205,29.4,2.2,1.0,4.0
0.013,20.0,20.9,11.2,0.176,28.8,2.3,1.1,0.6
0.007,23.6,19.1,3.5,0.07,34.4,4.6,0.9,0.3
0.231,17.4,28.9,13.4,0.258,29.1,4.2,1.6,0.5
0.078,16.3,22.1,12.4,0.209,25.7,6.0,1.8,0.7
0.496,16.7,27.4,17.0,0.264,26.6,2.5,1.5,3.9
0.03,20.2,23.5,11.4,0.177,28.1,3.3,1.5,0.8
0.004,17.1,24.3,8.6,0.201,25.0,2.3,2.2,3.9
0.011,13.9,17.4,3.4,0.098,25.2,9.3,1.6,0.2
0.008,16.2,18.0,9.9,0.155,24.0,5.5,1.1,0.1
0.016,11.9,23.4,14.0,0.217,20.9,14.2,2.9,0.2
0.148,19.6,24.8,15.5,0.225,30.1,3.3,1.1,1.0
0.005,12.9,18.3,9.0,0.161,21.2,7.1,1.4,0.1
0.033,14.9,23.7,12.7,0.22,24.8,10.1,2.1,0.1
0.001,13.4,21.2,7.9,0.182,23.9,1.9,0.4,2.1
0.026,17.0,19.7,6.6,0.14,23.7,7.2,1.8,1.0
0.518,12.4,25.1,15.4,0.251,22.9,12.5,1.3,0.2
0.928,22.4,31.6,20.3,0.321,32.9,5.5,2.7,1.0
0.021,20.3,23.7,10.0,0.155,31.1,3.0,1.0,3.2
0.01,10.0,20.6,10.0,0.198,19.0,0.8,0.8,1.3
0.026,11.7,21.7,13.0,0.235,19.6,8.0,2.0,0.1
0.001,18.9,20.9,9.9,0.148,24.7,9.7,2.6,0.1
0.025,13.8,23.0,11.7,0.213,23.6,3.6,0.9,1.1
0.019,15.0,24.5,12.3,0.205,25.1,4.1,1.8,0.6
0.084,19.6,19.9,10.8,0.155,23.6,3.5,2.1,0.8
0.584,19.4,23.6,12.8,0.223,28.7,6.7,1.8,0.9
0.001,14.6,19.7,9.8,0.162,23.1,3.5,1.6,1.5
0.351,15.8,27.5,13.9,0.26,24.7,2.7,2.3,4.5
0.027,7.7,17.0,12.6,0.183,11.1,2.3,0.8,0.9
0.001,11.6,19.5,9.8,0.181,21.1,3.9,0.8,0.5
0.019,11.5,22.8,13.4,0.215,19.9,13.7,3.0,0.3
0.273,18.7,25.4,15.1,0.237,30.3,3.0,1.3,0.6
0.002,14.4,19.9,10.0,0.165,23.6,10.7,1.5,0.3
0.003,16.8,21.0,5.5,0.159,24.7,6.8,0.9,0.7
0.069,12.5,22.7,9.1,0.205,24.1,7.4,1.3,0.2
0.938,22.7,27.7,17.7,0.274,31.7,6.1,2.3,0.9
0.104,18.6,22.8,13.0,0.198,27.2,1.9,1.1,3.0
0.033,16.6,21.5,12.7,0.192,24.6,7.0,1.9,1.1
0.067,19.7,19.1,9.2,0.132,24.4,10.0,2.0,0.2
0.001,12.8,22.0,12.7,0.226,21.1,4.4,0.7,0.8
0.852,18.1,25.9,14.4,0.242,26.9,5.1,1.6,1.0
0.001,16.7,20.7,6.0,0.171,26.1,5.7,1.9,0.8
0.034,16.4,24.2,13.2,0.197,26.4,3.7,1.5,3.2
0.055,22.3,24.3,10.5,0.191,31.9,3.2,1.0,0.4
0.66,19.5,27.3,15.8,0.234,28.8,3.5,1.8,4.2
0.001,18.9,17.6,9.1,0.141,24.5,4.0,1.0,0.1
0.001,11.0,21.3,10.6,0.177,19.9,12.0,2.4,0.3
0.01,17.6,26.2,15.4,0.238,28.4,3.8,1.5,1.0
0.01,13.1,22.1,9.8,0.197,24.5,8.0,1.2,0.1
0.577,25.7,29.7,17.2,0.27,34.7,5.5,2.8,0.8
0.366,19.1,20.8,10.6,0.17,29.7,1.9,0.9,2.0
0.031,16.1,22.9,10.4,0.163,27.0,1.9,0.7,3.5
0.001,13.4,20.4,9.1,0.169,24.2,2.0,1.5,1.9
0.005,16.1,22.8,8.8,0.185,26.5,4.6,1.6,0.6
0.723,20.7,30.7,20.0,0.296,32.0,4.8,1.7,3.3
0.001,3.7,13.4,8.7,0.14,7.1,2.3,0.7,0.4
0.001,21.5,21.4,8.4,0.153,32.0,2.3,1.2,0.4
0.02,14.1,17.8,9.3,0.155,21.6,6.0,2.3,0.2
0.88,21.2,25.3,14.3,0.21,29.8,3.6,1.6,3.7
0.001,10.6,22.5,13.2,0.214,19.1,12.6,2.4,0.3
0.017,18.9,22.9,13.4,0.193,28.0,4.0,1.5,1.5
0.001,14.6,20.6,8.7,0.17,24.3,9.5,1.9,0.1
0.001,15.7,19.4,10.2,0.17,24.1,1.9,1.0,0.5
0.001,17.3,15.9,8.0,0.108,21.5,4.7,2.2,0.9
0.007,13.2,22.7,10.0,0.201,24.6,7.8,1.4,0.1
0.001,13.3,19.6,10.2,0.168,19.8,9.7,2.6,0.5
0.252,19.0,22.9,13.1,0.211,29.8,2.3,1.1,2.7
0.386,17.8,23.2,11.2,0.194,27.1,5.6,2.9,0.8
0.286,19.6,28.5,16.9,0.252,29.0,2.4,0.9,2.9
0.017,12.5,22.9,11.7,0.216,24.2,2.6,1.8,2.1
0.022,14.8,20.8,10.7,0.177,23.7,7.2,1.7,0.3
0.001,16.8,19.9,5.2,0.123,26.5,1.8,1.0,0.3
0.091,16.8,25.2,10.6,0.214,27.5,4.1,1.6,0.7
0.003,16.3,22.4,11.7,0.206,25.7,4.8,1.8,0.6
0.858,18.4,29.1,17.5,0.273,29.9,2.9,1.7,3.2
0.009,4.9,16.6,5.8,0.178,10.9,2.0,0.6,0.5
0.032,16.4,21.3,11.7,0.187,24.4,7.1,2.5,0.2
0.14,21.5,26.0,10.7,0.181,31.7,3.5,1.8,3.4
0.007,10.8,15.1,3.7,0.066,19.0,7.7,1.9,0.3
0.045,9.6,23.3,13.9,0.233,18.9,12.3,2.4,0.3
0.507,18.9,25.1,13.8,0.212,30.3,3.5,1.6,1.0
0.011,23.8,22.1,2.3,0.167,33.2,5.3,1.8,0.8
0.219,18.4,21.9,9.6,0.157,30.7,2.7,0.9,2.0
0.079,16.7,22.6,11.8,0.188,26.3,5.2,2.9,1.1
0.576,20.2,28.6,14.0,0.23,31.9,2.7,0.9,2.4
0.005,15.4,22.7,9.9,0.178,28.1,2.3,1.0,2.7
0.319,14.8,24.6,14.4,0.229,25.5,7.1,2.0,0.5
0.007,16.3,24.8,10.5,0.191,27.5,3.7,1.6,0.8
0.508,16.8,29.4,18.3,0.29,28.8,3.0,1.4,3.3
0.004,4.8,13.6,6.2,0.143,10.3,2.5,0.6,0.4
0.087,15.8,19.6,11.5,0.174,23.6,7.5,2.9,0.2
0.056,15.3,20.9,11.7,0.172,25.9,6.9,1.3,0.6
0.211,20.8,25.5,9.7,0.166,31.9,3.6,1.6,2.9
0.011,10.0,21.9,13.0,0.214,18.7,11.2,1.7,0.2
0.075,18.5,26.0,15.1,0.233,29.8,4.2,1.7,0.7
0.007,9.2,21.1,3.6,0.181,22.7,6.9,0.8,0.4
0.986,22.6,29.4,20.4,0.317,33.3,4.3,2.2,0.5
0.003,16.9,19.2,9.3,0.151,26.9,3.1,1.5,0.2
0.2,15.8,21.0,12.3,0.209,24.4,5.9,1.7,0.7
0.056,19.1,26.4,6.9,0.171,32.8,2.9,0.6,2.1
0.065,11.9,22.6,11.2,0.205,26.2,2.2,1.2,1.6
0.003,14.6,25.2,12.7,0.237,27.6,6.5,1.8,0.4
0.001,19.8,18.0,4.1,0.065,28.9,7.5,2.1,0.3
0.004,13.4,21.6,8.4,0.174,27.5,1.6,0.8,2.9
0.006,11.3,18.9,11.4,0.173,17.6,5.7,1.0,0.5
0.002,13.1,23.0,9.4,0.224,23.2,4.7,1.3,0.5
0.003,9.0,19.0,11.3,0.183,17.4,1.4,0.6,3.3
0.091,18.1,21.8,12.9,0.193,26.4,7.1,2.4,0.2
0.117,19.2,19.7,10.8,0.154,26.9,2.0,0.9,0.3
0.327,15.7,25.5,14.6,0.223,28.3,7.3,1.8,0.6
0.083,18.3,22.7,9.1,0.154,30.4,3.0,1.5,2.2
0.003,9.3,22.1,13.6,0.226,18.4,10.5,2.0,0.2
0.857,19.2,28.9,16.7,0.268,32.7,4.5,1.4,0.6
0.001,12.7,22.9,11.7,0.211,22.6,9.3,1.5,0.2
0.832,23.1,27.8,18.3,0.283,33.2,4.3,1.7,0.5
0.003,19.5,21.6,10.8,0.166,29.4,4.2,1.5,0.3
0.05,17.2,21.3,9.8,0.163,29.8,2.0,0.9,2.4
